           Time     Coordinate          Speed
           0.01        0.02191        2.08660
           0.02        0.04477        2.17639
           0.03        0.06860        2.26931
           0.04        0.09343        2.36528
           0.05        0.11929        2.46418
           0.06        0.14622        2.56581
           0.07        0.17423        2.66994
           0.08        0.20334        2.77626
           0.09        0.23358        2.88437
           0.10        0.26494        2.99380
           0.11        0.29744        3.10398
           0.12        0.33107        3.21426
           0.13        0.36581        3.32388
           0.14        0.40165        3.43198
           0.15        0.43855        3.53760
           0.16        0.47646        3.63970
           0.17        0.51532        3.73717
           0.18        0.55508        3.82882
           0.19        0.59563        3.91345
           0.20        0.63689        3.98982
           0.21        0.67873        4.05674
           0.22        0.72105        4.11305
           0.23        0.76370        4.15772
           0.24        0.80655        4.18981
           0.25        0.84944        4.20858
           0.26        0.89221        4.21344
           0.27        0.93473        4.20406
           0.28        0.97682        4.18032
           0.29        1.01834        4.14234
           0.30        1.05915        4.09046
           0.31        1.09911        4.02528
           0.32        1.13810        3.94756
           0.33        1.17600        3.85825
           0.34        1.21272        3.75845
           0.35        1.24818        3.64935
           0.36        1.28231        3.53223
           0.37        1.31505        3.40839
           0.38        1.34637        3.27915
           0.39        1.37624        3.14579
           0.40        1.40466        3.00955
           0.41        1.43162        2.87159
           0.42        1.45714        2.73300
           0.43        1.48123        2.59477
           0.44        1.50393        2.45776
           0.45        1.52526        2.32277
           0.46        1.54528        2.19045
           0.47        1.56402        2.06138
           0.48        1.58153        1.93603
           0.49        1.59787        1.81477
           0.50        1.61308        1.69790
           0.51        1.62721        1.58563
           0.52        1.64033        1.47810
           0.53        1.65248        1.37540
           0.54        1.66371        1.27756
           0.55        1.67408        1.18457
           0.56        1.68363        1.09638
           0.57        1.69241        1.01289
           0.58        1.70047        0.93400
           0.59        1.70785        0.85958
           0.60        1.71459        0.78947
           0.61        1.72074        0.72351
           0.62        1.72633        0.66154
           0.63        1.73140        0.60338
           0.64        1.73598        0.54885
           0.65        1.74010        0.49776
           0.66        1.74380        0.44995
           0.67        1.74710        0.40523
           0.68        1.75003        0.36343
           0.69        1.75261        0.32439
           0.70        1.75488        0.28795
           0.71        1.75684        0.25394
           0.72        1.75852        0.22222
           0.73        1.75995        0.19264
           0.74        1.76113        0.16507
           0.75        1.76209        0.13938
           0.76        1.76283        0.11544
           0.77        1.76339        0.09315
           0.78        1.76376        0.07238
           0.79        1.76396        0.05304
           0.80        1.76400        0.03503
           0.81        1.76390        0.01826
           0.82        1.76366        0.00265
           0.83        1.76329       -0.01189
           0.84        1.76280       -0.02544
           0.85        1.76221       -0.03805
           0.86        1.76151       -0.04980
           0.87        1.76072       -0.06075
           0.88        1.75983       -0.07095
           0.89        1.75887       -0.08046
           0.90        1.75782       -0.08933
           0.91        1.75671       -0.09760
           0.92        1.75552       -0.10532
           0.93        1.75428       -0.11252
           0.94        1.75297       -0.11924
           0.95        1.75161       -0.12552
           0.96        1.75020       -0.13139
           0.97        1.74874       -0.13688
           0.98        1.74723       -0.14201
           0.99        1.74568       -0.14681
           1.00        1.74409       -0.15131
           1.01        1.74247       -0.15553
           1.02        1.74081       -0.15949
           1.03        1.73912       -0.16320
           1.04        1.73739       -0.16668
           1.05        1.73564       -0.16996
           1.06        1.73386       -0.17305
           1.07        1.73205       -0.17595
           1.08        1.73022       -0.17869
           1.09        1.72836       -0.18127
           1.10        1.72649       -0.18371
           1.11        1.72459       -0.18601
           1.12        1.72267       -0.18820
           1.13        1.72074       -0.19027
           1.14        1.71878       -0.19223
           1.15        1.71681       -0.19409
           1.16        1.71482       -0.19587
           1.17        1.71282       -0.19756
           1.18        1.71081       -0.19917
           1.19        1.70877       -0.20071
           1.20        1.70673       -0.20218
           1.21        1.70467       -0.20359
           1.22        1.70260       -0.20494
           1.23        1.70052       -0.20625
           1.24        1.69842       -0.20750
           1.25        1.69632       -0.20870
           1.26        1.69420       -0.20987
           1.27        1.69208       -0.21099
           1.28        1.68994       -0.21208
           1.29        1.68779       -0.21314
           1.30        1.68564       -0.21417
           1.31        1.68347       -0.21516
           1.32        1.68129       -0.21614
           1.33        1.67911       -0.21709
           1.34        1.67692       -0.21801
           1.35        1.67471       -0.21892
           1.36        1.67250       -0.21981
           1.37        1.67028       -0.22068
           1.38        1.66806       -0.22154
           1.39        1.66582       -0.22239
           1.40        1.66358       -0.22322
           1.41        1.66132       -0.22404
           1.42        1.65906       -0.22485
           1.43        1.65680       -0.22565
           1.44        1.65452       -0.22645
           1.45        1.65224       -0.22723
           1.46        1.64995       -0.22801
           1.47        1.64765       -0.22879
           1.48        1.64534       -0.22956
           1.49        1.64303       -0.23032
           1.50        1.64071       -0.23108
           1.51        1.63838       -0.23184
           1.52        1.63604       -0.23260
           1.53        1.63370       -0.23336
           1.54        1.63135       -0.23411
           1.55        1.62899       -0.23486
           1.56        1.62662       -0.23562
           1.57        1.62425       -0.23637
           1.58        1.62187       -0.23713
           1.59        1.61948       -0.23788
           1.60        1.61708       -0.23864
           1.61        1.61468       -0.23940
           1.62        1.61227       -0.24016
